particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
370,rod,7.84,2.91,2.699,0.929,16.59,406.1,373.0
371,rod,6.65,3.48,1.909,0.852,16.99,386.2,380.5
372,dot,5.59,4.4,1.271,0.618,16.99,399.5,380.0
373,rod,13.72,4.21,3.258,0.952,37.93,411.5,385.3
374,rod,11.49,4.49,2.559,0.921,34.57,390.6,393.9
375,reject,6.93,3.77,1.84,0.839,18.57,237.3,416.7
376,rod,7.29,3.0,2.431,0.911,15.8,233.4,450.9
377,rod,6.87,3.58,1.919,0.854,16.79,482.2,431.7
378,rod,7.12,3.41,2.086,0.878,17.38,467.3,453.7
379,rod,8.63,2.94,2.941,0.94,18.37,481.5,458.8
